Camiseta de algodón, 12.99, 100
Zapatos deportivos, 64.99, 75
Bolso de cuero, 34.99, 50
Gafas de sol, 19.99, 200
Tablet Android, 199.99, 80
Silla de oficina, 89.99, 60
Auriculares inalámbricos, 29.99, 150
Cámara digital, 179.99, 120
Reloj de pulsera, 44.99, 90
Mochila resistente, 29.99, 100
Libro de ciencia ficción, 12.49, 70
Pantalones vaqueros, 24.99, 110
Teclado mecánico, 59.99, 55
Smartphone Android, 299.99, 40
Cargador USB-C, 8.99, 250
Botellas de vino tinto, 9.99, 65
Impresora láser, 129.99, 95
Cepillo de dientes eléctrico, 34.99, 85
Bicicleta de montaña, 349.99, 30
Cable HDMI, 5.99, 180
Máquina de café espresso, 129.99, 45
Teclado Bluetooth, 39.99, 110
Portátil ultradelgado, 799.99, 60
Lámpara de escritorio, 19.99, 140
Altavoces Bluetooth, 49.99, 75
Monitor de 27 pulgadas, 249.99, 70
Pelota de fútbol, 14.99, 105
Guitarra acústica, 149.99, 35
Horno de microondas, 79.99, 125
Set de maquillaje, 29.99, 50